id,meaning_id,lemma,morphology,ipa,definition
1,1,аб // абдикiне,"-лдил, -лла",ab // abdikine,ед.; весна; дюгIзиб абдикIне холодная весна; абдикIнелла вахт весеннее время; абдикIне нуссаддил ачIе балхьвада весной мы сеем пшеницу.Абла агьвай хьур фольк. весеннее дуновение ветерка.АбдикIне сибта цIидихь фольк. первый весенний фрукт.
2,1,аба,"-дил, -ла",aba,абне; мать; дила аба моя мать; абала ляв материнская ласка; ниссила аба гIяхсий сай наша мать добрая.Абала шшихъла хатIа фольк. мамина красавица (букв. мамина тарелка с глазурью).Абала адаме отчим (букв. муж матери).
3,1,абаба,"-дил, -ла",ababa,абабне; 1) бабушка (по матери); йиккузий абаба любимая бабушка; абаба йидажи бабушка ушла; абабадил тIулутI бецIай бабушка испекла хлеб.старая женщина; 2) перен. старая женщина. ♦Абабала аппахъус одуванчик (букв. аппахъус старой женщины).
4,1,абадихь,"-лидил, -ла, ед.",abadix,материнство; ццихъжуд абадихь счастливое материнство; абадихьли разил радуясь материнству; аттала юццилдил дамми пакшуд абадихь дакьай тетя стала хорошей матерью для меня (букв.она красиво выполнила материнство).
5,1,абадулла-абадул,вечно,abadulla-abadul,абадулла-абадул хъуметикквид вечно не забуду; гIяхдихь бакьне абадулла-абадул гьанкалуга совершенное добро все время помнится (не забывается).
6,1,абатта,"-дил, -ла",abatta,дедушка (по матери); виккузив абатта любимый дедушка; абаттала урдин орден дедушки; дила абатта дахъе ушкуллив викьул сав мой дедушка долго работает в школе.
7,1,абауцц-е,"-идил, -илла, абауцбе",abautsts-e,дядя (по матери); хвалел абауцце старший дядя; абауцце чарсавхе дядя вернулся; ниссила абауцце гIюгъбуган гIячилла гIяхсив уста сав наш дядя хороший мастер по кубачинскому ремеслу.
8,1,абахъаллаба // абахъалла аба,"-дил, -ла",abaqallaba // abaqalla aba,абахъаллаабне; бабушка (по матери); см. абаба.
9,1,абахъаллатта // абахъалла  атта,"-дил, -ла, абахъаллаатне",abaqallatta // abaqalla  atta,дедушка (по матери); см. абатта.
10,1,абдал,"-лидил, -лла, -те",abdal,"мед. умалишенный, психически больной, безумец; абдалзивухъна умалишенный старик; абдал сечIултал ухадавукку безумец ничего не боится."
11,1,абдал/бихв-и,/йихви,abdal/bixv-i,"мн. I-II (/вихви, /йихви; /дихви), -е, -ул, -узив, -е; несов. заболевать психической болезнью,становиться безумным; глупеть; абдалвихви вевидище начал становиться безумным;абдалвихузив инсан балниццал какьай заболевшего психической болезнью уложили в больницу. ||сов. абдалбухи. АБДАЛДАХ/СИВ (-й; /щуб); глуповатый; человек с признаками психической болезни; абдалдахсив инсан глуповатый человек; абдалдахсий хьунул глуповатая женщина; те инсан дамми абдалдахсив такиццид тот человек мне показался странным (с признаками психической болезни)."
12,1,абдалдихь,"-лидил, -ла",abdaldix,"абдалдище; мед. безумие, сумасшествие; абдалдихьла иццала психическая болезнь; идила бакьутте абдалдихь багьналде его поступок был связан с его психической болезнью."
13,1,абд-и,"-иб, -ибзиб, -е",abd-i,"-е, -иб, -ибзиб, -е; сов. очиститься; ччюрккялццил абди очиститься от грязи; ццаб абди биккул саб небо начинает проясняться (очищаться) от туч. || несов. ибди. АБДИБ нареч. ясно; ццаб абдиб саб небо ясное; дучче ццаб пакле абде ночью небо стало ясным (прояснилось).♦ Ила абдиб улбе дат фольк. пусть здравствуют твои ясные глаза."
14,1,абдибзи-б,-й,abdibzi-b,"абдужуд, абдужуб) ясный; чистый; абдибзиб ццаб ясное небо; абдужуд пикруме ясные мысли; абдужуд исала чисто постиранные вещи."
15,1,абду/бакь-и,/якьи,abdu/baƛ-i,"мн. I-II (/вакьи, /якьи; /дакьи), -ай, -иб, -ибзиб, -а; сов. очистить, почистить; гIяхле абдубакьи хорошо почистить; абдубакьибзиб хатIа очищенная тарелка; юццилдил дила палтар абдудакьай сестра почистила мою одежду. || несов. абдубикьи."
16,1,абду/бикь-и,"мн. I-II (/викьи, /йикьи, /дикьи), -у, -ул, -узиб, -а",abdu/biƛ-i,"несов. очищать, чистить; азбар абдубикьи чистить двор; чаханте абдудикьи биччихъид люблю чистить обувь; гьар ччаваллла сулбе абдудикьузиб (виисужуд) бихва каждое утро нужно чистить зубы. || сов. абдубакьи."
